# file...... load_l671_freq.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... load 63
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,GFA_status,measured_frequency,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:02.440000 EST,FALSE,+60.2860558565,-43.5646980682,+2398.51704787,+2421.09177623,-1136.85301794,-2072.09476176,-1270.71940474
2000-01-01 00:00:02.450000 EST,FALSE,+60.2834365666,-86.8604337886,+2397.36327194,+2441.23060483,-1092.97287391,-2048.83563826,-1307.93093525
2000-01-01 00:00:02.460000 EST,FALSE,+60.2808222431,-129.680006758,+2395.45175468,+2460.37731511,-1049.19668293,-2025.15963124,-1344.33724325
2000-01-01 00:00:02.470000 EST,FALSE,+60.2782101559,-172.013258758,+2392.8069979,+2478.55142845,-1005.54664499,-2001.0933563,-1379.94205298
2000-01-01 00:00:02.480000 EST,FALSE,+60.2755980606,-213.851018244,+2389.45325038,+2495.77269977,-962.04384805,-1976.66270044,-1414.74982036
2000-01-01 00:00:02.490000 EST,FALSE,+60.2729841788,-255.18506341,+2385.41448118,+2512.06107183,-918.708292179,-1951.89281787,-1448.76568691
2000-01-01 00:00:02.500000 EST,FALSE,+60.2703671789,-296.008087983,+2380.71435914,+2527.43663618,-875.558914148,-1926.80813026,-1481.99543922
2000-01-01 00:00:02.510000 EST,FALSE,+60.2677461536,-336.313665603,+2375.37623092,+2541.9195927,-832.613612521,-1901.43232576,-1514.44546641
2000-01-01 00:00:02.520000 EST,FALSE,+60.2651205949,-376.096211327,+2369.42309552,+2555.53020604,-789.889273485,-1875.78835668,-1546.1227135
2000-01-01 00:00:02.530000 EST,FALSE,+60.262490365,-415.35094213,+2362.87757969,+2568.28876254,-747.401798203,-1849.89843799,-1577.03463436
2000-01-01 00:00:02.540000 EST,FALSE,+60.2598556655,-454.073838973,+2355.76191819,+2580.21553239,-705.166130674,-1823.78404946,-1607.18914859
2000-01-01 00:00:02.550000 EST,FALSE,+60.2572170061,-492.261611668,+2348.09793963,+2591.33073776,-663.19628613,-1797.46594153,-1636.59460342
2000-01-01 00:00:02.560000 EST,FALSE,+60.254575174,-529.911665146,+2339.90705503,+2601.65452412,-621.505379377,-1770.96414278,-1665.25973833
2000-01-01 00:00:02.570000 EST,FALSE,+60.2519312025,-567.022065548,+2331.21024688,+2611.20693252,-580.105653385,-1744.29796769,-1693.19364975
2000-01-01 00:00:02.580000 EST,FALSE,+60.2492863398,-603.591505771,+2322.0280578,+2620.00787162,-539.008508241,-1717.4860247,-1720.40575541
2000-01-01 00:00:02.590000 EST,FALSE,+60.2466420179,-639.619271502,+2312.38058099,+2628.0770916,-498.224530226,-1690.54622503,-1746.90575941
2000-01-01 00:00:02.600000 EST,FALSE,+60.2439998218,-675.105208492,+2302.2874529,+2635.43416118,-457.763520831,-1663.49579312,-1772.70362025
2000-01-01 00:00:02.610000 EST,FALSE,+60.2413614599,-710.049691784,+2291.76784863,+2642.09844743,-417.634525536,-1636.3512785,-1797.80952137
2000-01-01 00:00:02.620000 EST,FALSE,+60.2387287359,-744.453595771,+2280.8404788,+2648.08909805,-377.845861996,-1609.12856851,-1822.23384349
2000-01-01 00:00:02.630000 EST,FALSE,+60.2361035224,-778.318265193,+2269.52358723,+2653.42502443,-338.405148375,-1581.84290118,-1845.98713796
2000-01-01 00:00:02.640000 EST,FALSE,+60.2334877357,-811.645486076,+2257.83494905,+2658.12488589,-299.319331036,-1554.50887839,-1869.08010062
2000-01-01 00:00:02.650000 EST,FALSE,+60.2308833117,-844.437457942,+2245.79187007,+2662.20707534,-260.594712263,-1527.14047982,-1891.52354701
